name,processor,operating_sys,RAM_GB,RAM_Type,Storage_GB,Storage_Type,Display_cm,Display_inch,Warranty_Years,Price
ASUS ROG Zephyrus Duo 16 Ryzen 9 16 Core 7945HX - (32 GB/2 TB SSD/Windows 11 Home/16 GB Graphics/NVIDI...,AMD Ryzen 9 16 Core Processor,Windows 11 Operating System,32,DDR5,2048,SSD,40.64,16,1,479990
ASUS ROG Zephyrus Duo 16 Ryzen 9 16 Core 7945HX - (32 GB/2 TB SSD/Windows 11 Home/12 GB Graphics/NVIDI...,AMD Ryzen 9 16 Core Processor,Windows 11 Operating System,32,DDR5,2048,SSD,40.64,16,1,455990
MSI Core i9 13th Gen - (32 GB/2 TB SSD/Windows 11 Home/12 GB Graphics/NVIDIA GeForce RTX 4080) Raider ...,Intel Core i9 Processor (13th Gen),Windows 11 Operating System,32,DDR5,2048,SSD,43.18,17,2,399990
ASUS ROG Strix Scar 17 SE (2022) with 90Whr Battery Core i9 12th Gen - (32 GB/4 TB SSD/Windows 11 Home...,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,32,DDR5,4096,SSD,43.94,17.3,1,399990
ASUS ROG Zephyrus Duo 16 (2022) Dual Screen Laptop with 90Whr Battery Ryzen 9 Octa Core 6900HX - (32 G...,AMD Ryzen 9 Octa Core Processor,64 bit Windows 11 Operating System,32,DDR5,2048,SSD,40.64,16,1,361990
APPLE 2023 MacBook Pro M2 Max - (32 GB/1 TB SSD/macOS Ventura) MNWA3HN/A,Apple M2 Max Processor,Mac OS Operating System,32,Unified Memory,1024,SSD,40.64,16,1,349900
APPLE 2023 MacBook Pro M2 Max - (32 GB/1 TB SSD/macOS Ventura) MNWE3HN/A,Apple M2 Max Processor,Mac OS Operating System,32,Unified Memory,1024,SSD,40.64,16,1,349900
ASUS ROG Strix SCAR 16 (2023) Core i9 13th Gen - (32 GB/1 TB SSD/Windows 11 Home/16 GB Graphics/NVIDIA...,Intel Core i9 Processor (13th Gen),Windows 11 Operating System,32,DDR5,1024,SSD,40.64,16,1,339990
DELL Alienware Core i9 12th Gen - (32 GB/1 TB HDD/1 TB SSD/Windows 11 Home/8 GB Graphics/NVIDIA GeForc...,Intel Core i9 Processor (12th Gen),64 bit Windows 11 Operating System,32,DDR5,1024,SSD,43.94,17.3,1,334990
ASUS Zenbook 17 Fold OLED Intel EVO Core i7 12th Gen - (16 GB/1 TB SSD/Windows 11 Home) UX9702AA-MD023...,"Stylish & Portable Thin and Light Foldable Laptop
12th Gen Intel Evo� Core i7-1250U CPU with 10 cores and 4.7 GHz max frequency
17.3 Inch 2.5K Foldable OLED, 0.2ms response time, 60Hz refresh rate, 500nits HDR peak brightness, 100% DCI-P3 color gamut, VESA CERTIFIED Display HDR True Black 500
World�s first 17� foldable OLED laptop with Multiple versatile use cases possible: laptop, tablet, AiO, vertical, extended, etc.
17.3� screen when unfolded, while just 8.7mm thin and 1.5kg in weight. MIL-STD 810H Military-grade durability
ASUS ErgoSense Bluetooth keyboard included in the box.
Two Thunderbolt 4 ports for external 4K display, 40 GB/s data transfer and fast charging",16 GB LPDDR5 RAM,,,,,,,,329990
APPLE 2021 Macbook Pro M1 Max - (32 GB/1 TB SSD/Mac OS Monterey) MK1A3HN/A,Apple M1 Max Processor,Mac OS Operating System,32,Unified Memory,1024,SSD,41.15,16.2,,329900
ALIENWARE Core i9 10th Gen - (32 GB/1 TB SSD/Windows 10 Home/8 GB Graphics/NVIDIA GeForce RTX 2080 wit...,NVIDIA GeForce RTX 2080 with Max-Q,Alienware Cryo-tech thermal technology to keep the system cool and running at highest performance,,,,,,,,325990
